Product ID,Product Name,Category,Price,Stock Quantity,Expiration Date,Supplier Name,Discount (%),Rating
101,Apple,Fruits,0.50,200,2024-09-20,Fresh Farms,5,4.5
102,Banana,Fruits,0.30,150,2024-09-15,Green Valley,10,4.7
103,Carrot,Vegetables,0.20,180,2024-10-10,Organic Harvest,0,4.3
104,Bread,Bakery,1.00,50,2024-09-12,BakeHouse,15,4.1
105,Milk,Dairy,1.50,80,2024-09-18,DairyPure,0,4.6
106,Chicken Breast,Meat,5.00,120,2024-09-25,Farm Fresh,5,4.8
107,Orange Juice,Beverages,2.00,60,2024-09-22,Fruit Press,10,4.4
108,Almonds,Snacks,4.00,40,2024-11-30,Nutty Harvest,0,4.7
109,Rice,Grains,2.50,300,2025-01-01,Whole Foods,0,4.2
110,Pasta,Grains,1.20,250,2025-02-15,GrainLand,0,4.0
